id,serial,product,action
278,GG80,"Apple iMac Retina 5K 27-inch 3.3GHz Quad-Core i5 (Late 2015) MK482LL/A",
279,GG80,"Apple iMac Retina 5K 27-inch 4.0GHz Quad-Core i7 (Late 2015) MK472LL/A",
280,DJ8R,"Apple iPad 3 Retina (64GB) Wi-Fi",
281,DJ8R,"Apple iPad 3 Retina (32GB) Wi-Fi",
282,DJ8R,"Apple iPad 3 Retina (16GB) Wi-Fi",
283,DJ8T,"Apple iPad 3 Retina (64GB) Wi-Fi",
284,DJ8T,"Apple iPad 3 Retina (32GB) Wi-Fi",
285,DJ8T,"Apple iPad 3 Retina (16GB) Wi-Fi",
286,DJ8V,"Apple iPad 3 Retina (64GB) Wi-Fi",
287,DJ8V,"Apple iPad 3 Retina (32GB) Wi-Fi",
288,DJ8V,"Apple iPad 3 Retina (16GB) Wi-Fi",
289,DVD1,"Apple iPad 3 Retina (64GB) Wi-Fi",
290,DVD1,"Apple iPad 3 Retina (32GB) Wi-Fi",
291,DVD1,"Apple iPad 3 Retina (16GB) Wi-Fi",
292,DVD2,"Apple iPad 3 Retina (64GB) Wi-Fi",
293,DVD2,"Apple iPad 3 Retina (32GB) Wi-Fi",
294,DVD2,"Apple iPad 3 Retina (16GB) Wi-Fi",
295,DVD3,"Apple iPad 3 Retina (64GB) Wi-Fi",
296,DVD3,"Apple iPad 3 Retina (32GB) Wi-Fi",
297,DVD3,"Apple iPad 3 Retina (16GB) Wi-Fi",
298,DVGG,"Apple iPad 3 Retina (64GB) Wi-Fi + Cellular",
299,DVGG,"Apple iPad 3 Retina (32GB) Wi-Fi + Cellular",
300,DVGG,"Apple iPad 3 Retina (16GB) Wi-Fi + Cellular",
301,DVGH,"Apple iPad 3 Retina (64GB) Wi-Fi + Cellular",
302,DVGH,"Apple iPad 3 Retina (32GB) Wi-Fi + Cellular",
303,DVGH,"Apple iPad 3 Retina (16GB) Wi-Fi + Cellular",
304,DVGJ,"Apple iPad 3 Retina (64GB) Wi-Fi + Cellular",
305,DVGJ,"Apple iPad 3 Retina (32GB) Wi-Fi + Cellular",
306,DVGJ,"Apple iPad 3 Retina (16GB) Wi-Fi + Cellular",
307,DVGK,"Apple iPad 3 Retina (64GB) Wi-Fi + Cellular",
308,DVGK,"Apple iPad 3 Retina (32GB) Wi-Fi + Cellular",
309,DVGK,"Apple iPad 3 Retina (16GB) Wi-Fi + Cellular",
310,DVGL,"Apple iPad 3 Retina (64GB) Wi-Fi + Cellular",
311,DVGL,"Apple iPad 3 Retina (32GB) Wi-Fi + Cellular",
312,DVGL,"Apple iPad 3 Retina (16GB) Wi-Fi + Cellular",
313,DVGM,"Apple iPad 3 Retina (64GB) Wi-Fi + Cellular",
314,DVGM,"Apple iPad 3 Retina (32GB) Wi-Fi + Cellular",
315,DVGM,"Apple iPad 3 Retina (16GB) Wi-Fi + Cellular",
316,DNQR,"Apple iPad 3 Retina (64GB) Wi-Fi + Cellular",
317,DNQR,"Apple iPad 3 Retina (32GB) Wi-Fi + Cellular",
318,DNQR,"Apple iPad 3 Retina (16GB) Wi-Fi + Cellular",
319,DNQT,"Apple iPad 3 Retina (64GB) Wi-Fi + Cellular",
320,DNQT,"Apple iPad 3 Retina (32GB) Wi-Fi + Cellular",
321,DNQT,"Apple iPad 3 Retina (16GB) Wi-Fi + Cellular",
322,DNQV,"Apple iPad 3 Retina (64GB) Wi-Fi + Cellular",
323,DNQV,"Apple iPad 3 Retina (32GB) Wi-Fi + Cellular",
324,DNQV,"Apple iPad 3 Retina (16GB) Wi-Fi + Cellular",
325,DVGC,"Apple iPad 3 Retina (64GB) Wi-Fi + Cellular",
326,DVGC,"Apple iPad 3 Retina (32GB) Wi-Fi + Cellular",
327,DVGC,"Apple iPad 3 Retina (16GB) Wi-Fi + Cellular",
328,DVGD,"Apple iPad 3 Retina (64GB) Wi-Fi + Cellular",
329,DVGD,"Apple iPad 3 Retina (32GB) Wi-Fi + Cellular",
330,DVGD,"Apple iPad 3 Retina (16GB) Wi-Fi + Cellular",
331,DVGF,"Apple iPad 3 Retina (64GB) Wi-Fi + Cellular",
332,DVGF,"Apple iPad 3 Retina (32GB) Wi-Fi + Cellular",
333,DVGF,"Apple iPad 3 Retina (16GB) Wi-Fi + Cellular",
334,F182,"Apple iPad 4 Retina (128GB) Wi-Fi",
335,F182,"Apple iPad 4 Retina (64GB) Wi-Fi",
336,F182,"Apple iPad 4 Retina (32GB) Wi-Fi",
337,F182,"Apple iPad 4 Retina (16GB) Wi-Fi",
338,F183,"Apple iPad 4 Retina (128GB) Wi-Fi",
339,F183,"Apple iPad 4 Retina (64GB) Wi-Fi",
340,F183,"Apple iPad 4 Retina (32GB) Wi-Fi",
341,F183,"Apple iPad 4 Retina (16GB) Wi-Fi",
342,F184,"Apple iPad 4 Retina (128GB) Wi-Fi",
343,F184,"Apple iPad 4 Retina (64GB) Wi-Fi",
344,F184,"Apple iPad 4 Retina (32GB) Wi-Fi",
345,F184,"Apple iPad 4 Retina (16GB) Wi-Fi",
346,F185,"Apple iPad 4 Retina (128GB) Wi-Fi",
347,F185,"Apple iPad 4 Retina (64GB) Wi-Fi",
348,F185,"Apple iPad 4 Retina (32GB) Wi-Fi",
349,F185,"Apple iPad 4 Retina (16GB) Wi-Fi",
350,F186,"Apple iPad 4 Retina (128GB) Wi-Fi",
351,F186,"Apple iPad 4 Retina (64GB) Wi-Fi",
352,F186,"Apple iPad 4 Retina (32GB) Wi-Fi",
353,F186,"Apple iPad 4 Retina (16GB) Wi-Fi",
354,F187,"Apple iPad 4 Retina (128GB) Wi-Fi",
355,F187,"Apple iPad 4 Retina (64GB) Wi-Fi",
356,F187,"Apple iPad 4 Retina (32GB) Wi-Fi",
357,F187,"Apple iPad 4 Retina (16GB) Wi-Fi",
358,FCYG,"Apple iPad 4 Retina (128GB) Wi-Fi",
359,FCYG,"Apple iPad 4 Retina (64GB) Wi-Fi",
360,FCYG,"Apple iPad 4 Retina (32GB) Wi-Fi",
361,FCYG,"Apple iPad 4 Retina (16GB) Wi-Fi",
362,F188,"Apple iPad 4 Retina (128GB) Wi-Fi + Cellular",
363,F188,"Apple iPad 4 Retina (64GB) Wi-Fi + Cellular",
364,F188,"Apple iPad 4 Retina (32GB) Wi-Fi + Cellular",
365,F188,"Apple iPad 4 Retina (16GB) Wi-Fi + Cellular",
366,F189,"Apple iPad 4 Retina (128GB) Wi-Fi + Cellular",
367,F189,"Apple iPad 4 Retina (64GB) Wi-Fi + Cellular",
368,F189,"Apple iPad 4 Retina (32GB) Wi-Fi + Cellular",
369,F189,"Apple iPad 4 Retina (16GB) Wi-Fi + Cellular",
370,F18C,"Apple iPad 4 Retina (128GB) Wi-Fi + Cellular",
371,F18C,"Apple iPad 4 Retina (64GB) Wi-Fi + Cellular",
372,F18C,"Apple iPad 4 Retina (32GB) Wi-Fi + Cellular",
373,F18C,"Apple iPad 4 Retina (16GB) Wi-Fi + Cellular",
374,F18D,"Apple iPad 4 Retina (128GB) Wi-Fi + Cellular",
375,F18D,"Apple iPad 4 Retina (64GB) Wi-Fi + Cellular",
376,F18D,"Apple iPad 4 Retina (32GB) Wi-Fi + Cellular",
377,F18D,"Apple iPad 4 Retina (16GB) Wi-Fi + Cellular",
378,FCYC,"Apple iPad 4 Retina (128GB) Wi-Fi + Cellular",
379,FCYC,"Apple iPad 4 Retina (64GB) Wi-Fi + Cellular",
380,FCYC,"Apple iPad 4 Retina (32GB) Wi-Fi + Cellular",
381,FCYC,"Apple iPad 4 Retina (16GB) Wi-Fi + Cellular",
382,F18P,"Apple iPad 4 Retina (128GB) Wi-Fi + Cellular",
383,F18P,"Apple iPad 4 Retina (64GB) Wi-Fi + Cellular",
384,F18P,"Apple iPad 4 Retina (32GB) Wi-Fi + Cellular",
385,F18P,"Apple iPad 4 Retina (16GB) Wi-Fi + Cellular",
386,F18W,"Apple iPad 4 Retina (128GB) Wi-Fi + Cellular",
387,F18W,"Apple iPad 4 Retina (64GB) Wi-Fi + Cellular",
388,F18W,"Apple iPad 4 Retina (32GB) Wi-Fi + Cellular",
389,F18W,"Apple iPad 4 Retina (16GB) Wi-Fi + Cellular",
390,F18Y,"Apple iPad 4 Retina (128GB) Wi-Fi + Cellular",
391,F18Y,"Apple iPad 4 Retina (64GB) Wi-Fi + Cellular",
392,F18Y,"Apple iPad 4 Retina (32GB) Wi-Fi + Cellular",
393,F18Y,"Apple iPad 4 Retina (16GB) Wi-Fi + Cellular",
394,F190,"Apple iPad 4 Retina (128GB) Wi-Fi + Cellular",
395,F190,"Apple iPad 4 Retina (64GB) Wi-Fi + Cellular",
396,F190,"Apple iPad 4 Retina (32GB) Wi-Fi + Cellular",
397,F190,"Apple iPad 4 Retina (16GB) Wi-Fi + Cellular",
398,F191,"Apple iPad 4 Retina (128GB) Wi-Fi + Cellular",
399,F191,"Apple iPad 4 Retina (64GB) Wi-Fi + Cellular",
400,F191,"Apple iPad 4 Retina (32GB) Wi-Fi + Cellular",
401,F191,"Apple iPad 4 Retina (16GB) Wi-Fi + Cellular",
402,F192,"Apple iPad 4 Retina (128GB) Wi-Fi + Cellular",
403,F192,"Apple iPad 4 Retina (64GB) Wi-Fi + Cellular",
404,F192,"Apple iPad 4 Retina (32GB) Wi-Fi + Cellular",
405,F192,"Apple iPad 4 Retina (16GB) Wi-Fi + Cellular",
406,FCY8,"Apple iPad 4 Retina (128GB) Wi-Fi + Cellular",
407,FCY8,"Apple iPad 4 Retina (64GB) Wi-Fi + Cellular",
408,FCY8,"Apple iPad 4 Retina (32GB) Wi-Fi + Cellular",
409,FCY8,"Apple iPad 4 Retina (16GB) Wi-Fi + Cellular",
410,FCY9,"Apple iPad 4 Retina (128GB) Wi-Fi + Cellular",
411,FCY9,"Apple iPad 4 Retina (64GB) Wi-Fi + Cellular",
412,FCY9,"Apple iPad 4 Retina (32GB) Wi-Fi + Cellular",
413,FCY9,"Apple iPad 4 Retina (16GB) Wi-Fi + Cellular",
414,DFHW,"Apple iPad 2 (64GB) Wi-Fi",
415,DFHW,"Apple iPad 2 (32GB) Wi-Fi",
416,DFHW,"Apple iPad 2 (16GB) Wi-Fi",
417,DFHY,"Apple iPad 2 (64GB) Wi-Fi",
418,DFHY,"Apple iPad 2 (32GB) Wi-Fi",
419,DFHY,"Apple iPad 2 (16GB) Wi-Fi",
420,DFJ0,"Apple iPad 2 (64GB) Wi-Fi",
421,DFJ0,"Apple iPad 2 (32GB) Wi-Fi",
422,DFJ0,"Apple iPad 2 (16GB) Wi-Fi",
423,DKPH,"Apple iPad 2 (64GB) Wi-Fi",
424,DKPH,"Apple iPad 2 (32GB) Wi-Fi",
425,DKPH,"Apple iPad 2 (16GB) Wi-Fi",
426,DKPJ,"Apple iPad 2 (64GB) Wi-Fi",
427,DKPJ,"Apple iPad 2 (32GB) Wi-Fi",
428,DKPJ,"Apple iPad 2 (16GB) Wi-Fi",
429,DKPK,"Apple iPad 2 (64GB) Wi-Fi",
430,DKPK,"Apple iPad 2 (32GB) Wi-Fi",
431,DKPK,"Apple iPad 2 (16GB) Wi-Fi",
432,DFJ1,"Apple iPad 2 (64GB) Wi-Fi + 3G",
433,DFJ1,"Apple iPad 2 (32GB) Wi-Fi + 3G",
434,DFJ1,"Apple iPad 2 (16GB) Wi-Fi + 3G",
435,DFJ2,"Apple iPad 2 (64GB) Wi-Fi + 3G",
436,DFJ2,"Apple iPad 2 (32GB) Wi-Fi + 3G",
437,DFJ2,"Apple iPad 2 (16GB) Wi-Fi + 3G",
438,DFJ3,"Apple iPad 2 (64GB) Wi-Fi + 3G",
439,DFJ3,"Apple iPad 2 (32GB) Wi-Fi + 3G",
440,DFJ3,"Apple iPad 2 (16GB) Wi-Fi + 3G",
441,DKNV,"Apple iPad 2 (64GB) Wi-Fi + 3G",
442,DKNV,"Apple iPad 2 (32GB) Wi-Fi + 3G",
443,DKNV,"Apple iPad 2 (16GB) Wi-Fi + 3G",
444,DKNW,"Apple iPad 2 (64GB) Wi-Fi + 3G",
445,DKNW,"Apple iPad 2 (32GB) Wi-Fi + 3G",
446,DKNW,"Apple iPad 2 (16GB) Wi-Fi + 3G",
447,DKNY,"Apple iPad 2 (64GB) Wi-Fi + 3G",
448,DKNY,"Apple iPad 2 (32GB) Wi-Fi + 3G",
449,DKNY,"Apple iPad 2 (16GB) Wi-Fi + 3G",
450,DJHF,"Apple iPad 2 (64GB) Wi-Fi + 3G",
451,DJHF,"Apple iPad 2 (32GB) Wi-Fi + 3G",
452,DJHF,"Apple iPad 2 (16GB) Wi-Fi + 3G",
453,DJHG,"Apple iPad 2 (64GB) Wi-Fi + 3G",
454,DJHG,"Apple iPad 2 (32GB) Wi-Fi + 3G",
455,DJHG,"Apple iPad 2 (16GB) Wi-Fi + 3G",
456,DJHH,"Apple iPad 2 (64GB) Wi-Fi + 3G",
457,DJHH,"Apple iPad 2 (32GB) Wi-Fi + 3G",
458,DJHH,"Apple iPad 2 (16GB) Wi-Fi + 3G",
459,DKPL,"Apple iPad 2 (64GB) Wi-Fi + 3G",
460,DKPL,"Apple iPad 2 (32GB) Wi-Fi + 3G",
461,DKPL,"Apple iPad 2 (16GB) Wi-Fi + 3G",
462,DKPM,"Apple iPad 2 (64GB) Wi-Fi + 3G",
463,DKPM,"Apple iPad 2 (32GB) Wi-Fi + 3G",
464,DKPM,"Apple iPad 2 (16GB) Wi-Fi + 3G",
465,DKPN,"Apple iPad 2 (64GB) Wi-Fi + 3G",
466,DKPN,"Apple iPad 2 (32GB) Wi-Fi + 3G",
467,DKPN,"Apple iPad 2 (16GB) Wi-Fi + 3G",
468,FK10,"Apple iPad Air (16GB) Wi-Fi",
469,FK10,"Apple iPad Air (32GB) Wi-Fi",
470,FK10,"Apple iPad Air (64GB) Wi-Fi",
471,FK10,"Apple iPad Air (128GB) Wi-Fi",
472,FK11,"Apple iPad Air (16GB) Wi-Fi",
473,FK11,"Apple iPad Air (32GB) Wi-Fi",
474,FK11,"Apple iPad Air (64GB) Wi-Fi",
475,FK11,"Apple iPad Air (128GB) Wi-Fi",
476,FK12,"Apple iPad Air (16GB) Wi-Fi",
477,FK12,"Apple iPad Air (32GB) Wi-Fi",
478,FK12,"Apple iPad Air (64GB) Wi-Fi",
479,FK12,"Apple iPad Air (128GB) Wi-Fi",
480,FK13,"Apple iPad Air (16GB) Wi-Fi",
481,FK13,"Apple iPad Air (32GB) Wi-Fi",
482,FK13,"Apple iPad Air (64GB) Wi-Fi",
483,FK13,"Apple iPad Air (128GB) Wi-Fi",
484,FK14,"Apple iPad Air (16GB) Wi-Fi",
485,FK14,"Apple iPad Air (32GB) Wi-Fi",
486,FK14,"Apple iPad Air (64GB) Wi-Fi",
487,FK14,"Apple iPad Air (128GB) Wi-Fi",
488,FK15,"Apple iPad Air (16GB) Wi-Fi",
489,FK15,"Apple iPad Air (32GB) Wi-Fi",
490,FK15,"Apple iPad Air (64GB) Wi-Fi",
491,FK15,"Apple iPad Air (128GB) Wi-Fi",
492,FK16,"Apple iPad Air (16GB) Wi-Fi",
493,FK16,"Apple iPad Air (32GB) Wi-Fi",
494,FK16,"Apple iPad Air (64GB) Wi-Fi",
495,FK16,"Apple iPad Air (128GB) Wi-Fi",
496,G5VJ,"Apple iPad Air 2 (16GB) Wi-Fi",
497,G5VJ,"Apple iPad Air 2 (64GB) Wi-Fi",
498,G5VJ,"Apple iPad Air 2 (128GB) Wi-Fi",
499,G5VT,"Apple iPad Air 2 (16GB) Wi-Fi",
500,G5VT,"Apple iPad Air 2 (64GB) Wi-Fi",
501,G5VT,"Apple iPad Air 2 (128GB) Wi-Fi",
502,G5VV,"Apple iPad Air 2 (16GB) Wi-Fi",
503,G5VV,"Apple iPad Air 2 (64GB) Wi-Fi",
504,G5VV,"Apple iPad Air 2 (128GB) Wi-Fi",
505,G5VW,"Apple iPad Air 2 (16GB) Wi-Fi",
506,G5VW,"Apple iPad Air 2 (64GB) Wi-Fi",
507,G5VW,"Apple iPad Air 2 (128GB) Wi-Fi",
508,G5VY,"Apple iPad Air 2 (16GB) Wi-Fi",
509,G5VY,"Apple iPad Air 2 (64GB) Wi-Fi",
510,G5VY,"Apple iPad Air 2 (128GB) Wi-Fi",
511,G5W0,"Apple iPad Air 2 (16GB) Wi-Fi",
512,G5W0,"Apple iPad Air 2 (64GB) Wi-Fi",
513,G5W0,"Apple iPad Air 2 (128GB) Wi-Fi",
514,G5W1,"Apple iPad Air 2 (16GB) Wi-Fi",
515,G5W1,"Apple iPad Air 2 (64GB) Wi-Fi",
516,G5W1,"Apple iPad Air 2 (128GB) Wi-Fi",
517,G5W2,"Apple iPad Air 2 (16GB) Wi-Fi",
518,G5W2,"Apple iPad Air 2 (64GB) Wi-Fi",
519,G5W2,"Apple iPad Air 2 (128GB) Wi-Fi",
520,G5W3,"Apple iPad Air 2 (16GB) Wi-Fi",
521,G5W3,"Apple iPad Air 2 (64GB) Wi-Fi",
522,G5W3,"Apple iPad Air 2 (128GB) Wi-Fi",
523,G5WQ,"Apple iPad Air 2 (16GB) Wi-Fi + Cellular",
524,G5WQ,"Apple iPad Air 2 (64GB) Wi-Fi + Cellular",
525,G5WQ,"Apple iPad Air 2 (128GB) Wi-Fi + Cellular",
526,G5WR,"Apple iPad Air 2 (16GB) Wi-Fi + Cellular",
527,G5WR,"Apple iPad Air 2 (64GB) Wi-Fi + Cellular",
528,G5WR,"Apple iPad Air 2 (128GB) Wi-Fi + Cellular",
529,G5WT,"Apple iPad Air 2 (16GB) Wi-Fi + Cellular",
530,G5WT,"Apple iPad Air 2 (64GB) Wi-Fi + Cellular",
531,G5WT,"Apple iPad Air 2 (128GB) Wi-Fi + Cellular",
532,G5YL,"Apple iPad Air 2 (16GB) Wi-Fi + Cellular",
533,G5YL,"Apple iPad Air 2 (64GB) Wi-Fi + Cellular",
534,G5YL,"Apple iPad Air 2 (128GB) Wi-Fi + Cellular",
535,G5YM,"Apple iPad Air 2 (16GB) Wi-Fi + Cellular",
536,G5YM,"Apple iPad Air 2 (64GB) Wi-Fi + Cellular",
537,G5YM,"Apple iPad Air 2 (128GB) Wi-Fi + Cellular",
538,G5YN,"Apple iPad Air 2 (16GB) Wi-Fi + Cellular",
539,G5YN,"Apple iPad Air 2 (64GB) Wi-Fi + Cellular",
540,G5YN,"Apple iPad Air 2 (128GB) Wi-Fi + Cellular",
541,G5YP,"Apple iPad Air 2 (16GB) Wi-Fi + Cellular",
542,G5YP,"Apple iPad Air 2 (64GB) Wi-Fi + Cellular",
543,G5YP,"Apple iPad Air 2 (128GB) Wi-Fi + Cellular",
544,G5YQ,"Apple iPad Air 2 (16GB) Wi-Fi + Cellular",
545,G5YQ,"Apple iPad Air 2 (64GB) Wi-Fi + Cellular",
546,G5YQ,"Apple iPad Air 2 (128GB) Wi-Fi + Cellular",
547,G5YR,"Apple iPad Air 2 (16GB) Wi-Fi + Cellular",
548,G5YR,"Apple iPad Air 2 (64GB) Wi-Fi + Cellular",
549,G5YR,"Apple iPad Air 2 (128GB) Wi-Fi + Cellular",
550,F4YD,"Apple iPad Air (16GB) Wi-Fi + Cellular",
551,F4YD,"Apple iPad Air (32GB) Wi-Fi + Cellular",
552,F4YD,"Apple iPad Air (64GB) Wi-Fi + Cellular",
553,F4YD,"Apple iPad Air (128GB) Wi-Fi + Cellular",
554,F4YF,"Apple iPad Air (16GB) Wi-Fi + Cellular",
555,F4YF,"Apple iPad Air (32GB) Wi-Fi + Cellular",
556,F4YF,"Apple iPad Air (64GB) Wi-Fi + Cellular",
557,F4YF,"Apple iPad Air (128GB) Wi-Fi + Cellular",
558,F4YG,"Apple iPad Air (16GB) Wi-Fi + Cellular",
559,F4YG,"Apple iPad Air (32GB) Wi-Fi + Cellular",
560,F4YG,"Apple iPad Air (64GB) Wi-Fi + Cellular",
561,F4YG,"Apple iPad Air (128GB) Wi-Fi + Cellular",
562,F4YH,"Apple iPad Air (16GB) Wi-Fi + Cellular",
563,F4YH,"Apple iPad Air (32GB) Wi-Fi + Cellular",
564,F4YH,"Apple iPad Air (64GB) Wi-Fi + Cellular",
565,F4YH,"Apple iPad Air (128GB) Wi-Fi + Cellular",
566,F4YJ,"Apple iPad Air (16GB) Wi-Fi + Cellular",
567,F4YJ,"Apple iPad Air (32GB) Wi-Fi + Cellular",
568,F4YJ,"Apple iPad Air (64GB) Wi-Fi + Cellular",
569,F4YJ,"Apple iPad Air (128GB) Wi-Fi + Cellular",
570,F4YK,"Apple iPad Air (16GB) Wi-Fi + Cellular",
571,F4YK,"Apple iPad Air (32GB) Wi-Fi + Cellular",
572,F4YK,"Apple iPad Air (64GB) Wi-Fi + Cellular",
573,F4YK,"Apple iPad Air (128GB) Wi-Fi + Cellular",
574,FKYC,"Apple iPad Air (16GB) Wi-Fi + Cellular",
575,FKYC,"Apple iPad Air (32GB) Wi-Fi + Cellular",
576,FKYC,"Apple iPad Air (64GB) Wi-Fi + Cellular",
577,FKYC,"Apple iPad Air (128GB) Wi-Fi + Cellular",
578,FKYH,"Apple iPad Air (16GB) Wi-Fi + Cellular",
579,FKYH,"Apple iPad Air (32GB) Wi-Fi + Cellular",
580,FKYH,"Apple iPad Air (64GB) Wi-Fi + Cellular",
581,FKYH,"Apple iPad Air (128GB) Wi-Fi + Cellular",
582,F193,"Apple iPad mini (16GB) Wi-Fi",
583,F193,"Apple iPad mini (32GB) Wi-Fi",
584,F193,"Apple iPad mini (64GB) Wi-Fi",
585,F194,"Apple iPad mini (16GB) Wi-Fi",
586,F194,"Apple iPad mini (32GB) Wi-Fi",
587,F194,"Apple iPad mini (64GB) Wi-Fi",
588,F195,"Apple iPad mini (16GB) Wi-Fi",
589,F195,"Apple iPad mini (32GB) Wi-Fi",
590,F195,"Apple iPad mini (64GB) Wi-Fi",
591,F196,"Apple iPad mini (16GB) Wi-Fi",
592,F196,"Apple iPad mini (32GB) Wi-Fi",
593,F196,"Apple iPad mini (64GB) Wi-Fi",
594,F197,"Apple iPad mini (16GB) Wi-Fi",
595,F197,"Apple iPad mini (32GB) Wi-Fi",
596,F197,"Apple iPad mini (64GB) Wi-Fi",
597,F198,"Apple iPad mini (16GB) Wi-Fi",
598,F198,"Apple iPad mini (32GB) Wi-Fi",
599,F198,"Apple iPad mini (64GB) Wi-Fi",
600,FCM5,"Apple iPad mini 2 (16GB) Wi-Fi",
601,FCM5,"Apple iPad mini 2 (32GB) Wi-Fi",
602,FCM5,"Apple iPad mini 2 (64GB) Wi-Fi",
603,FCM5,"Apple iPad mini 2 (128GB) Wi-Fi",
604,FCM6,"Apple iPad mini 2 (16GB) Wi-Fi",
605,FCM6,"Apple iPad mini 2 (32GB) Wi-Fi",
606,FCM6,"Apple iPad mini 2 (64GB) Wi-Fi",
607,FCM6,"Apple iPad mini 2 (128GB) Wi-Fi",
608,FCM7,"Apple iPad mini 2 (16GB) Wi-Fi",
609,FCM7,"Apple iPad mini 2 (32GB) Wi-Fi",
610,FCM7,"Apple iPad mini 2 (64GB) Wi-Fi",
611,FCM7,"Apple iPad mini 2 (128GB) Wi-Fi",
612,FCM8,"Apple iPad mini 2 (16GB) Wi-Fi",
613,FCM8,"Apple iPad mini 2 (32GB) Wi-Fi",
614,FCM8,"Apple iPad mini 2 (64GB) Wi-Fi",
615,FCM8,"Apple iPad mini 2 (128GB) Wi-Fi",
616,FCM9,"Apple iPad mini 2 (16GB) Wi-Fi",
617,FCM9,"Apple iPad mini 2 (32GB) Wi-Fi",
618,FCM9,"Apple iPad mini 2 (64GB) Wi-Fi",
619,FCM9,"Apple iPad mini 2 (128GB) Wi-Fi",
620,FCMC,"Apple iPad mini 2 (16GB) Wi-Fi",
621,FCMC,"Apple iPad mini 2 (32GB) Wi-Fi",
622,FCMC,"Apple iPad mini 2 (64GB) Wi-Fi",
623,FCMC,"Apple iPad mini 2 (128GB) Wi-Fi",
624,FH12,"Apple iPad mini 2 (16GB) Wi-Fi",
625,FH12,"Apple iPad mini 2 (32GB) Wi-Fi",
626,FH12,"Apple iPad mini 2 (64GB) Wi-Fi",
627,FH12,"Apple iPad mini 2 (128GB) Wi-Fi",
628,FLMJ,"Apple iPad mini 2 (16GB) Wi-Fi + Cellular",
629,FLMJ,"Apple iPad mini 2 (32GB) Wi-Fi + Cellular",
630,FLMJ,"Apple iPad mini 2 (64GB) Wi-Fi + Cellular",
631,FLMJ,"Apple iPad mini 2 (128GB) Wi-Fi + Cellular",
632,FLMK,"Apple iPad mini 2 (16GB) Wi-Fi + Cellular",
633,FLMK,"Apple iPad mini 2 (32GB) Wi-Fi + Cellular",
634,FLMK,"Apple iPad mini 2 (64GB) Wi-Fi + Cellular",
635,FLMK,"Apple iPad mini 2 (128GB) Wi-Fi + Cellular",
636,FLML,"Apple iPad mini 2 (16GB) Wi-Fi + Cellular",
637,FLML,"Apple iPad mini 2 (32GB) Wi-Fi + Cellular",
638,FLML,"Apple iPad mini 2 (64GB) Wi-Fi + Cellular",
639,FLML,"Apple iPad mini 2 (128GB) Wi-Fi + Cellular",
640,FLMM,"Apple iPad mini 2 (16GB) Wi-Fi + Cellular",
641,FLMM,"Apple iPad mini 2 (32GB) Wi-Fi + Cellular",
642,FLMM,"Apple iPad mini 2 (64GB) Wi-Fi + Cellular",
643,FLMM,"Apple iPad mini 2 (128GB) Wi-Fi + Cellular",
644,FLMN,"Apple iPad mini 2 (16GB) Wi-Fi + Cellular",
645,FLMN,"Apple iPad mini 2 (32GB) Wi-Fi + Cellular",
646,FLMN,"Apple iPad mini 2 (64GB) Wi-Fi + Cellular",
647,FLMN,"Apple iPad mini 2 (128GB) Wi-Fi + Cellular",
648,FLMP,"Apple iPad mini 2 (16GB) Wi-Fi + Cellular",
649,FLMP,"Apple iPad mini 2 (32GB) Wi-Fi + Cellular",
650,FLMP,"Apple iPad mini 2 (64GB) Wi-Fi + Cellular",
651,FLMP,"Apple iPad mini 2 (128GB) Wi-Fi + Cellular",
652,FLMQ,"Apple iPad mini 2 (16GB) Wi-Fi + Cellular",
653,FLMQ,"Apple iPad mini 2 (32GB) Wi-Fi + Cellular",
654,FLMQ,"Apple iPad mini 2 (64GB) Wi-Fi + Cellular",
655,FLMQ,"Apple iPad mini 2 (128GB) Wi-Fi + Cellular",
656,FLMR,"Apple iPad mini 2 (16GB) Wi-Fi + Cellular",
657,FLMR,"Apple iPad mini 2 (32GB) Wi-Fi + Cellular",
658,FLMR,"Apple iPad mini 2 (64GB) Wi-Fi + Cellular",
659,FLMR,"Apple iPad mini 2 (128GB) Wi-Fi + Cellular",
660,G5V1,"Apple iPad mini 3 (16GB) Wi-Fi",
661,G5V1,"Apple iPad mini 3 (64GB) Wi-Fi",
662,G5V1,"Apple iPad mini 3 (128GB) Wi-Fi",
663,G5V2,"Apple iPad mini 3 (16GB) Wi-Fi",
664,G5V2,"Apple iPad mini 3 (64GB) Wi-Fi",
665,G5V2,"Apple iPad mini 3 (128GB) Wi-Fi",
666,G5V3,"Apple iPad mini 3 (16GB) Wi-Fi",
667,G5V3,"Apple iPad mini 3 (64GB) Wi-Fi",
668,G5V3,"Apple iPad mini 3 (128GB) Wi-Fi",
669,G5V4,"Apple iPad mini 3 (16GB) Wi-Fi",
670,G5V4,"Apple iPad mini 3 (64GB) Wi-Fi",
671,G5V4,"Apple iPad mini 3 (128GB) Wi-Fi",
672,G5V5,"Apple iPad mini 3 (16GB) Wi-Fi",
673,G5V5,"Apple iPad mini 3 (64GB) Wi-Fi",
674,G5V5,"Apple iPad mini 3 (128GB) Wi-Fi",
675,G5V6,"Apple iPad mini 3 (16GB) Wi-Fi",
676,G5V6,"Apple iPad mini 3 (64GB) Wi-Fi",
677,G5V6,"Apple iPad mini 3 (128GB) Wi-Fi",
678,G5V7,"Apple iPad mini 3 (16GB) Wi-Fi",
